CPU Name,Brand,Generation,Series,Socket,Cores,Threads,GHz,TDP,Price,Link,Store,Model,Image URL
"Intel Core i5-12400F (6C/12T, 2.50 GHz, 18MB Cache, LGA1700, 65W), TRAY",Intel,12th,i5,LGA1700,6,12,2.5,65W,116.03,https://www.dateks.lv/cenas/procesori-intel/890645-intel-core-i5-12400f-6c-12t-2-50-ghz-18mb-cache-lga1700-65w-tray,Dateks,Core i5-12400F,https://www.dateks.lv/images/pic/1200/1200/383/1121.jpg
"Intel Core i5-12600KF (6P+4E/16T, 3.70 GHz, 20MB Cache, LGA1700, 125W), TRAY",Intel,12th,i5,LGA1700,10,16,3.7,125W,164.41,https://www.dateks.lv/cenas/procesori-intel/821677-intel-core-i5-12600kf-6p-4e-16t-3-70-ghz-20mb-cache-lga1700-125w-tray,Dateks,Core i5-12600KF,https://www.dateks.lv/images/pic/1200/1200/383/1121.jpg
"Intel Core i5-14600KF (6P+8E/20T, 3.50 GHz, 24 MB Cache, LGA1700, 125W) , TRAY",Intel,14th,i5,LGA1700,14,20,3.5,125W,199.81,https://www.dateks.lv/cenas/procesori-intel/1013267-intel-core-i5-14600kf-6p-8e-20t-3-50-ghz-24-mb-cache-lga1700-125w-tray,Dateks,Core i5-14600KF,https://www.dateks.lv/images/pic/1200/1200/261/1307.jpg
"Intel Core i5-13600KF (6P+8E/20T, 3.50 GHz, 24 MB Cache, LGA1700, 125W), TRAY",Intel,13th,i5,LGA1700,14,20,3.5,125W,209.73,https://www.dateks.lv/cenas/procesori-intel/911680-intel-core-i5-13600kf-6p-8e-20t-3-50-ghz-24-mb-cache-lga1700-125w-tray,Dateks,Core i5-13600KF,https://www.dateks.lv/images/pic/1200/1200/261/1307.jpg
"Intel Core i5-14600K (6P+8E/20T, 3.50 GHz, 24 MB Cache, LGA1700, 125W) , TRAY",Intel,14th,i5,LGA1700,14,20,3.5,125W,242.1,https://www.dateks.lv/cenas/procesori-intel/1013220-intel-core-i5-14600k-6p-8e-20t-3-50-ghz-24-mb-cache-lga1700-125w-tray,Dateks,Core i5-14600K,https://www.dateks.lv/images/pic/1200/1200/261/1307.jpg
"Intel Core i7-12700KF (8P+4E/20T, 3.60 GHz, 25MB Cache, LGA1700, 125W), TRAY",Intel,12th,i7,LGA1700,12,20,3.6,125W,250.84,https://www.dateks.lv/cenas/procesori-intel/810886-intel-core-i7-12700kf-8p-4e-20t-3-60-ghz-25mb-cache-lga1700-125w-tray,Dateks,Core i7-12700KF,https://www.dateks.lv/images/pic/1200/1200/925/1085.jpg
"Intel Core i7-14700KF (8P+12E/28T, 3.40 GHz, 33 MB Cache, LGA1700, 125W) , TRAY",Intel,14th,i7,LGA1700,20,28,3.4,125W,348.91,https://www.dateks.lv/cenas/procesori-intel/1013268-intel-core-i7-14700kf-8p-12e-28t-3-40-ghz-33-mb-cache-lga1700-125w-tray,Dateks,Core i7-14700KF,https://www.dateks.lv/images/pic/1200/1200/260/1307.jpg
"Intel Core i7-14700K (8P+12E/28T, 3.40 GHz, 33 MB Cache, LGA1700, 125W) , TRAY",Intel,14th,i7,LGA1700,20,28,3.4,125W,418.18,https://www.dateks.lv/cenas/procesori-intel/1013221-intel-core-i7-14700k-8p-12e-28t-3-40-ghz-33-mb-cache-lga1700-125w-tray,Dateks,Core i7-14700K,https://www.dateks.lv/images/pic/1200/1200/260/1307.jpg
"Intel Core i9-14900KF (8P+16E/32T, 3.20 GHz, 36 MB Cache, LGA1700, 125W) , TRAY",Intel,14th,i9,LGA1700,24,32,3.2,125W,457.02,https://www.dateks.lv/cenas/procesori-intel/1013270-intel-core-i9-14900kf-8p-16e-32t-3-20-ghz-36-mb-cache-lga1700-125w-tray,Dateks,Core i9-14900KF,https://www.dateks.lv/images/pic/1200/1200/259/1307.jpg
"Intel Core i9-14900K (8P+16E/32T, 3.20 GHz, 36 MB Cache, LGA1700, 125W)",Intel,14th,i9,LGA1700,24,32,3.2,125W,494.91,https://www.dateks.lv/cenas/procesori-intel/1012836-intel-core-i9-14900k-8p-16e-32t-3-20-ghz-36-mb-cache-lga1700-125w-,Dateks,Core i9-14900K,https://www.dateks.lv/images/pic/1200/1200/367/1518.jpg
"Intel Core i5-14400 (6P+4E/16T, 2.5 GHz, 20 MB Cache, LGA1700, 65W)",Intel,14th,i5,LGA1700,10,16,2.5,65W,32.17,https://www.dateks.lv/cenas/procesori-intel/1050264-intel-core-i5-14400-6p-4e-16t-2-5-ghz-20-mb-cache-lga1700-65w-,Dateks,Core i5-14400,https://www.dateks.lv/images/pic/1200/1200/226/1574.jpg
"Intel Core i5-14500 (6P+8E/20T, 2.6 GHz, 24 MB Cache, LGA1700, 65W)",Intel,14th,i5,LGA1700,14,20,2.6,65W,32.17,https://www.dateks.lv/cenas/procesori-intel/1050266-intel-core-i5-14500-6p-8e-20t-2-6-ghz-24-mb-cache-lga1700-65w-,Dateks,Core i5-14500,https://www.dateks.lv/images/pic/1200/1200/226/1574.jpg
"Intel Core i7-14700F (8P+12E/28T,",Intel,14th,i7,LGA1700,20,28,2.1,65W,38.62,https://www.dateks.lv/cenas/procesori-intel/1050268-intel-core-i7-14700f-8p-12e-28t-2-1ghz-33mb-cache-lga1700-65w-,Dateks,Core i7-14700F,https://www.dateks.lv/images/pic/1200/1200/224/1574.jpg
"Intel Core i3-14100 (4P/8T, 3.5 GHz, 12 MB Cache, LGA1700, 60W)",Intel,14th,i3,LGA1700,4,8,3.5,60W,53.59,https://www.dateks.lv/cenas/procesori-intel/1050262-intel-core-i3-14100-4p-8t-3-5-ghz-12-mb-cache-lga1700-60w-,Dateks,Core i3-14100,https://www.dateks.lv/images/pic/1200/1200/223/1574.jpg
"Intel Core i5-14400F (6P+4E/16T, 2.5 GHz, 20 MB Cache, LGA1700, 65W)",Intel,14th,i5,LGA1700,10,16,2.5,65W,53.59,https://www.dateks.lv/cenas/procesori-intel/1050265-intel-core-i5-14400f-6p-4e-16t-2-5-ghz-20-mb-cache-lga1700-65w-,Dateks,Core i5-14400F,https://www.dateks.lv/images/pic/1200/1200/860/1573.jpg
"Intel Core i7-14700 (8P+12E/28T,",Intel,14th,i7,LGA1700,20,28,2.1,65W,55.61,https://www.dateks.lv/cenas/procesori-intel/1050267-intel-core-i7-14700-8p-12e-28t-2-1ghz-33mb-cache-lga1700-65w-,Dateks,Core i7-14700,https://www.dateks.lv/images/pic/1200/1200/224/1574.jpg
"Intel Core i3-10100F (4C/8T, 3.60 GHz, 6MB Cache, LGA1200, 65W), TRAY",Intel,10th,i3,LGA1200,4,8,3.6,65W,65.24,https://www.dateks.lv/cenas/procesori-intel/993641-intel-core-i3-10100f-4c-8t-3-60-ghz-6mb-cache-lga1200-65w-tray,Dateks,Core i3-10100F,https://www.dateks.lv/images/pic/1200/1200/010/1505.jpg
"Intel Core i3-13100F (4C/8T, 3.40 GHz, 12 MB Cache, LGA1700, 60W), TRAY",Intel,13th,i3,LGA1700,4,8,3.4,58W,73.01,https://www.dateks.lv/cenas/procesori-intel/940354-intel-core-i3-13100f-4c-8t-3-40-ghz-12-mb-cache-lga1700-60w-tray,Dateks,Core i3-13100F,https://www.dateks.lv/images/pic/1200/1200/010/1505.jpg
"Intel Core i3-10105F (4C/8T, 3.70 GHz, 6MB Cache, LGA1200, 65W)",Intel,10th,i3,LGA1200,4,8,3.7,65W,75.16,https://www.dateks.lv/cenas/procesori-intel/696775-intel-core-i3-10105f-4c-8t-3-70-ghz-6mb-cache-lga1200-65w-,Dateks,Core i3-10105F,https://www.dateks.lv/images/pic/1200/1200/068/923.jpg
"AMD Ryzen 5 5500 (6C/12T, 3.50 GHz, 32MB Cache, 65W), TRAY",AMD,Zen 3,Ryzen 5,AM4,6,12,3.6,65W,72.21,https://www.dateks.lv/cenas/procesori-amd/889740-amd-ryzen-5-5600-6c-12t-3-50-ghz-32mb-cache-65w-tray,Dateks,Ryzen 5 5500,https://www.dateks.lv/images/pic/1200/1200/443/1346.jpg
"AMD Ryzen 5 5600 (6C/12T, 3.50 GHz, 32MB Cache, 65W), TRAY",AMD,Zen 3,Ryzen 5,AM4,6,12,3.5,65W,94.94,https://www.dateks.lv/cenas/procesori-amd/906648-amd-ryzen-5-5600-6c-12t-3-50-ghz-32mb-cache-65w-tray,Dateks,Ryzen 5 5600,https://www.dateks.lv/images/pic/1200/1200/519/701.jpg
"AMD Ryzen 5 5600X (6C/12T, 3.70 GHz, 32MB Cache, 65W), TRAY",AMD,Zen 3,Ryzen 5,AM4,6,12,3.7,65W,106.54,https://www.dateks.lv/cenas/procesori-amd/866956-amd-ryzen-5-5600x-6c-12t-3-70-ghz-32mb-cache-65w-tray,Dateks,Ryzen 5 5600X,https://www.dateks.lv/images/pic/1200/1200/709/1756.jpg
"AMD Ryzen 7 5700X (8C/16T, 3,40 GHz, 32MB Cache, 65W), TRAY",AMD,Zen 3,Ryzen 7,AM4,8,16,3.4,65W,128.2,https://www.dateks.lv/cenas/procesori-amd/950177-amd-ryzen-7-5700x-8c-16t-3-40-ghz-32mb-cache-65w-tray,Dateks,Ryzen 7 5700X,https://www.dateks.lv/images/pic/1200/1200/519/701.jpg
"AMD Ryzen 7 5700G (8C/16T, 3.80 GHz, 16MB Cache, Vega 8, 65W), TRAY",AMD,Zen 3,Ryzen 7,AM4,8,16,3.8,65W,155.93,https://www.dateks.lv/cenas/procesori-amd/803661-amd-ryzen-7-5700g-8c-16t-3-80-ghz-16mb-cache-vega-8-65w-tray,Dateks,Ryzen 7 5700G,https://www.dateks.lv/images/pic/1200/1200/993/857.jpg
"AMD Ryzen 5 5600G (6C/12T, 3.90 GHz, 16MB Cache, Vega 7, 65W)",AMD,Zen 3,Ryzen 5,AM4,6,12,3.9,65W,156.47,https://www.dateks.lv/cenas/procesori-amd/731125-amd-ryzen-5-5600g-6c-12t-3-90-ghz-16mb-cache-vega-7-65w-,Dateks,Ryzen 5 5600G,https://www.dateks.lv/images/pic/1200/1200/303/1028.jpg
"AMD Ryzen 5 7600 (6C/12T, 3.80 GHz, 32MB Cache, 65W), TRAY",AMD,Zen 4,Ryzen 5,AM5,6,12,3.8,65W,187.46,https://www.dateks.lv/cenas/procesori-amd/988234-amd-ryzen-5-7600-6c-12t-3-80-ghz-32mb-cache-65w-tray,Dateks,Ryzen 5 7600,https://www.dateks.lv/images/pic/1200/1200/432/1716.jpg
"AMD Ryzen 7 7700 (8C/16T, 3.80 GHz, 32MB Cache, 65W), TRAY",AMD,Zen 4,Ryzen 7,AM5,8,16,3.8,65W,207.66,https://www.dateks.lv/cenas/procesori-amd/985824-amd-ryzen-7-7700-8c-16t-3-80-ghz-32mb-cache-65w-tray,Dateks,Ryzen 7 7700,https://www.dateks.lv/images/pic/1200/1200/432/1716.jpg
"AMD Ryzen 5 7600X (6C/12T, 4.70 GHz, 32MB Cache, 105W), TRAY",AMD,Zen 4,Ryzen 5,AM5,6,12,4.7,105W,210.95,https://www.dateks.lv/cenas/procesori-amd/899599-amd-ryzen-5-7600x-6c-12t-4-70-ghz-32mb-cache-105w-tray,Dateks,Ryzen 5 7600X,https://www.dateks.lv/images/pic/1200/1200/432/1716.jpg
"AMD Ryzen 5 7600X (6C/12T, 4.70 GHz, 32MB Cache, 105W)",AMD,Zen 4,Ryzen 5,AM5,6,12,4.7,105W,211.93,https://www.dateks.lv/cenas/procesori-amd/893889-amd-ryzen-5-7600x-6c-12t-4-70-ghz-32mb-cache-105w-,Dateks,Ryzen 5 7600X,https://www.dateks.lv/images/pic/1200/1200/010/1291.jpg
"AMD Ryzen 7 5700X3D (8C/16T, 3.00 GHz, 96MB Cache, 105W), TRAY",AMD,Zen 3,Ryzen 7,AM4,8,16,3.0,105W,219.0,https://www.dateks.lv/cenas/procesori-amd/1117832-amd-ryzen-7-5700x3d-8c-16t-3-00-ghz-96mb-cache-105w-tray,Dateks,Ryzen 7 5700X3D,https://www.dateks.lv/images/pic/1200/1200/577/1547.jpg
"AMD Ryzen 5 9600X (6C/12T, 3.90 GHz, 32MB Cache, 65W), TRAY",AMD,Zen 5,Ryzen 5,AM5,6,12,4.4,105W,226.43,https://www.dateks.lv/cenas/procesori-amd/1139991-amd-ryzen-5-9600x-6c-12t-3-90-ghz-32mb-cache-65w-tray,Dateks,Ryzen 5 9600X,https://www.dateks.lv/images/pic/1200/1200/428/1802.jpg
